parts_id,parts_name
i1-41,Overfill Preventive Valve Sump
i1-42,S8/EX300 300mm Deep Extension for S8 Chamber
i1-43,"SO-1120/ATG Grey CVR, Frame, Sump with PSB/110 + PEC/33 Fitted"
i1-44,Bolt
i1-45,Washer
i1-46,Washer
i1-47,Retaining Ring
i1-48,K83512-30  Panel Lock and Key Set
i1-49,Drive Gear
i1-50,Drive Gear Shaft
i1-51,Flange
i1-52,Bearing
i1-53,Drive Gear
i1-54,CN22948-G4 Totaliser Assy for Endeavor
i1-55,Driving Gear
i1-56,Gear Shaft
i1-57,Spacer
i1-58,Screw
i1-59,Transformer for Endeavor
i1-60,CR20269-G1 Nozzle Boot
i1-61,Totaliser Bracket
i1-62,CRGB006-10 Filter Manifold
i1-63,CT17548-19 KeyPad Membrane for Endeavor
i1-64,"CT17549-G1 KeyPad, Manager"
i1-65,CT17962-G4 Display Board fr Endeavor
i1-66,CT17962-S2 Main Display Board Endeavor
i1-67,CT18904-S5E Controller Board with Software P88.1.99 & C.88.1.1
i1-68,item has been phased out by Gilbarco China
i1-69,CT18994-S2 Interface Board for Endeavor
i1-70,IS Barrier Board for Endeavor
i1-71,Nozzle Hook
i1-72,CT20150-G5S Meter for Endeavor
i1-73,(CT17885-16E) KePad Membrane
i1-74,OLC PIB
i1-75,OLC to Ethernet Converter
i1-76,M09967A-2S EMV Adv Upgr-2 Sided Kit
i1-77,"EMV Adv Flexpay Crind Kit, Dual Sided"
i1-78,"EMV Adv Flexpay Crind Kit, Single Sided"
i1-79,EMV RF Kit for Adv Upgrade to Wayne 2 Sided
i1-80,M01208A-2S EMV RF Kit for ENC300 2 Sided
i1-81,EMV Encore Flexpay Crind Kit 2 Sided
i1-82,"K35359 -PA024 Kit, Gasket & O Ring"
i1-83,K35490 Mech Totalizer - Adv
i1-84,Pulley
i1-85,K82472-01 Lip Seal
i1-86,M03154b001 Ballast
i1-87,Meter Seal
i1-88,"Gasket Seal Cap, Cork"
i1-89,Rubber Gasket for Filter Cap
i1-90,KeyPad for Crind
i1-91,(T17448-G3) IS Barrier
i1-92,K96659-01 Piston Cup Kit (35pc/Pkt)
i1-93,Terminal Block
i1-94,Stp Board
i1-95,18V Power Supply
i1-96,24V Power Supply
i1-97,Totalizer
i1-98,Crind Control Node Eclipse/Encore
i1-99,Monochrome
i1-100,"Sub Assy, Transformer Encore/Eclipse"
i1-101,"Bracket, Base Electronics"
i1-102,"Bracket E-Cal Switch, Cover"
i1-103,VOID
i1-104,Replaece to M00246K001
i1-105,"M00246K001 Digital Valve Kit, Encore"
i1-106,M00302A001 Feedline Dispenser Assy
i1-107,M00346A005 Totaliser Assy ENC300
i1-108,M00454A002 Valve Coil Assy
i1-109,M01047A005 Nozzle Boot Assy for Encore
i1-110,Hydraulic Interface Encore
i1-111,"Cable, PPU, Data"
i1-112,"M01586A001 Cable, PPU, Backlight"
i1-113,M01598A001 Pump Controller Encore
i1-114,"M01617A001 Cable, PPU date"
i1-115,M01650A001 Cable Main Interface Encore
i1-116,"M01686A002 Cable PPP & 5 Buttons, Preset Encore 300"
i1-117,"PCA, Door Node 2 Encore"
i1-118,"PCA, Pump Control Node 2"
i1-119,"PCA, Pump Control Node 2 - Repaired"
i1-120,"PCA, Pump Control Node"
i1-121,"PCA, Pump Control Node"
i1-122,"M02044A003 PCA, Valve Converter E500"
i1-123,Angle Casting Manifold
i1-124,M02159A005  Cable STP encore300
i1-125,M02226B010 Lower Casting Manifold
i1-126,Proportionate Valve
i1-127,M02274A001 Power Supply assy Encore 240v
i1-128,"M02335A001 PCA, E300 Proportionate Valve DV"
i1-129,"M02335A001-R PCA, E300 Proportionate Valve - Recond"
i1-130,PPU Display E500
i1-132,M02958A001 Valve Coil Assy
i1-133,M04011B001 Pulser for Encore
i1-134,Pulser-T18350-G4 & T18350-G5
i1-135,"M04326A002 PCA, Door Node 3"
i1-136,replaced with I1000001983
i1-137,"M05612B011 1"" Outlet Elbow, Encore"
i1-138,"M05839B002 Combined Pulser, ENC300"
i1-139,"M15182B001 Combine Pulser, ENC500 (formerly M05840B002)"
i1-140,Pulser Kit-T18350-G2
i1-141,"M06975K002  Kit, KeyPad(M00141B004)"
i1-142,"Aux Power Supply Assy, Encore"
i1-143,"Cap Fill 5/8"""
i1-144,O' Ring
i1-145,Screen Filter
i1-146,Voltage Select Plug
i1-147,Modified Lamp
i1-148,"N22634-03 Cam & Shaft Assy, New Type"
i1-149,N22739-01 Valve Seat & Bushing Assy
i1-150,N22741-01 Piston Roller Assy
i1-151,"N23196 1"" Lip Seal"
i1-152,Totaliser 1 Digit
i1-153,K94254-01 (N23276-G1) Meter Check Valve
i1-154,Pulley
i1-155,N21022-01 Totaliser & Brk
i1-156,SEE GB-CNGF057-01
i1-157,OLCModule w/DT09877 Mtg P/S & DT09859 Accesso
i1-158,"PA0013-172 Sump Assy, Long Cylinder"
i1-159,"PA0013-179 Sump Assy, Short Cylinder"
i1-160,Piston Meter-Adv-Re
i1-161,"1 Input, 1 Board, 230V D/Box"
i1-162,"PA02611000012 -1 Input, Single Board, 230V Universal D/Box"
i1-163,"PA02611000022 Dual Board, 230V Universal D/Box"
i1-164,"Fuse 0.5 Amp, 125V"
i1-165,"Fuse 1.5 Amp, 125V"
i1-166,"Fuse 0.25 Amp, 125V"
i1-167,Q10939-05 Electromech Totaliser 7 digit
i1-168,Solid State Relay 3-32V
i1-169,Q11008-04 Solid State relay
i1-170,Display Screened Image
i1-171,Q12444-03 LCD Display 1.0in
i1-172,"Q12444-04 LCD Display 1"" for E500"
i1-173,Q12445-03 LCD Display 0.7in
i1-1737,Ring Set (Consist CA903511 & CA903508)
i1-174,Q12446-03 LCD Display 0.5in
i1-175,O' Ring
i1-176,Q12514-01 Magnetic Switch
i1-177,KeyLock Set for Door
i1-178,Q12591-01 LCD Display
i1-179,13watt Lamp (Q12929-01)
i1-180,1/2 hp Motor
i1-181,3/4 hp Motor 115/220-230 5
i1-182,3/4 hp Motor-Recond
i1-183,3/4 hp Motor for E500-Recond
i1-184,"R15085-01 Hose Swivel 1"""
i1-185,Hose Swivel 3/4 Assy
i1-186,"R17995-G7 Cable Assy, Reg/Logic"
i1-187,"R18896-G2 Filter Cap 1"""
i1-188,Motor Pulley
i1-189,Cable Assy Logic/ Mgr KeyPad
i1-190,R19093S Solenoid Valve
i1-191,Cable Assy
i1-192,"R19211-011 Filter 1.0, Orange"
i1-193,"R19211-031 Filter 0.5, Orange"
i1-194,Nozzle Cradle Base
i1-195,R19667-G1 Ribbon Cable Assy 34 Con
i1-1954,
i1-196,R19817-G2 Ribbon Cable
i1-197,Foil Wrap Display Assy
i1-198,"R20266-G3 Pump Preset Switch Assy, Faceplate"
i1-199,Valve Seat Gasket (K93002)
i1-200,R20450-G1 Valve Seat & Bushng for Piston Meter - Encore
i1-201,Valve Seat Gasket
i1-202,Pump Preset KePad
i1-203,R20713-G1 Nozzle Flap
i1-204,"Door, Right Access, Blank Black 1681"
i1-205,T17549-G1 Manager Key Pad
i1-206,"T17622-G5 Reflector Assy, 0.7"""
i1-207,"T17622-G6 Reflector Assy, 1.0in"
i1-208,"T17622-G8 Reflector Assy, 0.5in"
i1-209,"T17622-G9 Reflector Assy, 0.6in"
i1-210,T17651-G1 PCB D/Box Assy
i1-211,PCB D/Box Assy
i1-212,T17701-G1 PCA LCD Main Display
i1-213,T17723-G1 PCB Main Regulator
i1-214,T17723-G1 PCB Main Regulator
i1-215,PCB Logic Assy
i1-216,"Logic Box, Crind"
i1-217,Backlight LCD Cable
i1-218,Overlay PPP Switch
i1-219,T17962-G2 PCB LCD Main Display Assy
i1-220,T18024-G2 PCB Hydraulic Interface Assy
i1-221,T18350-G1 Pulser
i1-222,T18350-G3 Pulser Assy 125/1
i1-223,T18400-10 nozzle cradle
i1-224,T18453-10 Casting Manifold Inlet
i1-225,T18994-G1 PCB pump Interface assy
i1-226,T19168-02 Meter Valve (Lapped)
i1-227,T19301-G1 IS Barrier Assy
i1-228,Cable Assy for AC to Transformer
i1-229,T16513-G8 / T19706-G2 Power Supply Assy
i1-230,Backlight Cable
i1-231,Transformer 240V-Legacy
i1-232,T19976-G3S Piston Meter for Encore
i1-233,T20120-10 Meter Cover for T19976-G3S Meter
i1-234,"T20353-01 Keypad ,Prog Pump, Preset"
i1-235,T20361-G1 Card Cage
i1-236,"TS1000 Transc, 24V 12FP System"
i1-237,W01590-13R Noozle Boot (refurbished) for B03
i1-238,Noozle Boot
i1-239,Manifold
i1-240,1 Hose Outlet Casting
i1-241,G-Rotor Pumping Unit
i1-242,"W03715-G2 Cable Adv 98, Main Interface"
i1-243,W03879-G4 Nozzle Boot Assy
i1-244,"5/8"" x 10ft Contitech Hose c/w cplgs"
i1-245,"5/8"" x  9.5ft Long Contitech Hose c/w cplgs"
i1-246,"3/4"" x  10ft long Goodyear Hose c/w cplgs"
i1-247,"3/4"" x  12ft GY Hose c/w cplgs"
i1-248,"3/4"" x  18' Lg Hose c/w cplgs"
i1-249,"3/4"" x  9.5ft GY Hose c/w cplgs"
i1-250,"1"" x  9.5ft Long Contitech Hose c/w cplgs"
i1-251,"1"" x  10ft long Contitech Hose c/w cplgs"
i1-252,"1"" x  12ft long Contitech Hose c/w cplgs"
i1-253,"1"" x  30ft GY Hose c/w cplgs"
i1-254,"1"" x  8m Long Hose c/w cplgs"
i1-255,"5/8"" x 9"" Contitech Short Hose c/w cplgs"
i1-256,"3/4"" x 9"" GY short hose c/w cplgs"
i1-257,"1"" x 12"" Contitech Short Hose c/w cplgs"
i1-258,"1 1/2"" x 28"" pipe c/w 90deg flange & 11/2 PT Male"
i1-259,Buna N Diaphragm for T2 pump
i1-260,14UASSADK UA auto Drain Kit
i1-261,Motor tapelock pulley for Ingersoll
i1-262,"21980008 5/8"" Check Valve"
i1-263,"21980016 1"" discharge Check Valve"
i1-264,21981915 -MDR2/11 Pressure Switch
i1-265,Pressure Switch 91021964
i1-266,Bush for MDL 235
i1-267,30210199 Crankpin Bush for MDL 2475
i1-268,Crankshaft Complete
i1-269,Oil Filler Plug
i1-270,30221170 Finger Valve for Model 234 & 242 Ingersoll
i1-271,30279038 Lp Gasket-Airhead for Mod 242 Ingersoll Compressor
i1-272,"30288518 HP-Piston 2.5"" ( Replace 30288515 )"
i1-273,"30289813 Crankpin , Bushing for MDL 2340"
i1-274,Hp Piston c/w ring
i1-275,Lp Piston c/w ring
i1-276,32004145 Conecting Rod for MDL 2340 Ingersoll
i1-277,32004152 Conecting Rod for MDL 2475
i1-278,Main Frame 242
i1-279,HP Spacer Valve Plate
i1-280,91019075 Discharge Check Valve
i1-281,Spacer Gasket for Model 234 Ingersoll Compressor
i1-282,Gasket for Model 234 Ingersoll Compressor
i1-283,32145146 Belt Wheel
i1-284,32146052 Crank Shaft for Model 242
i1-285,Filter Element
i1-286,32194151 Piston Ring Set LP for Model 242
i1-287,32194276 LP Ring Set for Model 2340/253
i1-288,32198160 Connecting Rod for Model 253
i1-289,"32198368 Set Ring, 2.5 for Model 242 Ingersoll Compressor"
i1-290,32204570 Oil Seal for 253
i1-291,H/P Finger Valve
i1-292,Finger Valve for EN5(lp)
i1-293,32241010 HP Disc Finger Valve
i1-294,ILP Finger Valve ( new ) for Model EN5 Compressor
i1-295,Gasket - HP Airhead for Model 2475 Ingersoll
i1-296,32248130 Lp Inlet Finger Valve
i1-297,32248155 LP Discharge Valve Finger
i1-298,See New MLP-32496507
i1-299,Discharge Valve Damper
i1-300,H/P Valve Damper
i1-301,32301434 Gasket Kit
i1-302,32307910 Piston Ring Kit HP for Model 2475 Ingersoll
i1-303,32307928 Piston Ring Kit LP for Model 2475 Ingersoll
i1-304,Valve Plate Assy-HP ( 32295487 ) for Model 2475
i1-305,Belt Wheel for Model 2475
i1-306,Crankshaft Asy 32293565 for Model 2475
i1-307,32496549 (32293821) Crank Shaft Assy
i1-308,32496564 Piston L/P ( 32293516 ) for Model 2475
i1-309,32496572 LP Piston Asy ( 32295644 ) for model 2340 I
i1-310,32496598 Piston H/P ( 32293530 ) for Model 2475
i1-311,32496606 H/P Piston Asy ( 32295628 ) for Model 2340
i1-312,Shaft Seal
i1-313,Piston Ring set HP for Model 242
i1-314,37138237 HP Piston Ring for Model 2340
i1-315,LP Piston Set for EN5
i1-316,6205NR NIS Bearing ( 95951216 )
i1-317,6206NR NIS Bearing ( 95213666 )
i1-318,6208 NIS Bearing ( CA 2443 )
i1-319,6305NR NIS Bearing ( 95930400 )
i1-320,6306  NIS Bearing ( 35200762 )
i1-321,NIS 6309 Bearing
i1-322,"1/8""Plastic Breather c/w 1/4"" plug"
i1-323,Safety Valve 60psig for Model 242 & 2420
i1-324,Safety Valve 80psi
i1-325,"Tupe Elbow 3/4"" for 2340"
i1-326,"Tupe Elbow 1/2"" for 2340"
i1-327,Woodfuff Key
i1-328,Filler Plug for EN5
i1-329,Finger Valve for EW5/EN10
i1-330,2 1/2 Aluminium Adaptor 633A
i1-331,SOR-HAZ-PADS Absorbent Pad 40 x 50 cm
i1-332,45 Milti FRP Tank Sump c/w Lid
i1-333,"AR-YAR4000-04G 1/2"" FluildTek Regulator"
i1-334,Shear Valve Bracket
i1-335,1/4 Bras Elbow Bar Tail 1/4 Compet/1/4 Tail
i1-336,Belting
i1-337,Belting
i1-338,Belting
i1-339,V-Belt for Compressor
i1-340,V-Belt for Compressor
i1-341,V-Belt for Compressor
i1-342,V-Belt for Compressor
i1-343,Belt # 78
i1-344,"1/2"" x 3/8"" Bras Nipple for STP Assy"
i1-345,Bostik 247727 Seal & Flex FC - 600ml
i1-346,"1/2"" x 6m Long B pipe"
i1-347,"1 1/2"" x 6m Long B pipe"
i1-348,Mitti Cable 20/0.12mm x 2core x 100m roll
i1-349,1/2AA Lith Battery 3.6V
i1-350,6V Battery
i1-351,"Battery, Lithium A 3.6V"
i1-352,Bezel Glass 110 x 145 x 5mm
i1-353,Bezel Glass 120 x 190 x 5mm
i1-354,Bezel Glass for Gilbarco Adv 300 x 266 x 5mm
i1-355,Bezel Glass for Vista 305 x 230 x 3mm Thick Acrylic
i1-356,Cable 1.5mm x 3 wire-black
i1-357,Cat 6 Schneider UTP Cable x 305m roll.
i1-358,Cable 1.5mm x 3 wire-green
i1-359,Cable 1.5mm x 3 wire-red
i1-360,A 5410-O2 Raider Cleaning Chemical  25L drum
i1-361,36'' Composite Manhole C/W Skirting
i1-362,"Vesta Compressor Oil 200L, ISO 100"
i1-363,CRC / RP7 Lubricant
i1-364,Diesel Cover - Encore
i1-365,Diesel Cover for Gilbarco Advantage
i1-366,Diesel Cover for Wayne
i1-367,1/2'' Spring
i1-368,3/4'' Spring
i1-369,1/2'' Teflon
i1-370,3/4'' Teflon
i1-371,020481850 HP Piston c/w gudgeon pin for ELGI HP11
i1-372,T17331-G3R Preset board for Adv
i1-373,Belt Wheel for SKB20
i1-374,1/2'' Check Valve ( 3CP-CV-0.5'' )
i1-375,Reed Valve
i1-376,Head Gasket-HP for DC16
i1-377,Piston Ring Set
i1-378,Washer
i1-379,Cylinder
i1-380,Piston Ring Set 50mm
i1-381,Teflon Seal FR 3/4'' CHK V
i1-382,113183008 Crankshaft for SKB20SPB
i1-383,4131830002 Conn Rod for SKB20SPB
i1-384,2 1/2'' Dust Cap (634B)
i1-385,Extended Bracket for Endeavor Dispenser Sump
i1-386,"Cable Gland 3/4"" x 1/2"" 4core EIFW20"
i1-387,"Cable Gland 1"" x 3/4"""
i1-388,27C512 Eprom (Programmed)
i1-389,Eprom Z84C006PEC Z80 CPU
i1-390,Eprom Z0844006PEC
i1-391,1.5'' X 21'' Flexible Connector C/W Fittings
i1-392,Flexible Conn 1.5 x 12''
i1-393,1.5'' X 18'' Flexible Connector C/W Fittings
i1-394,2'' X 18'' Long Flexible Connector
i1-395,"2'' X 20'' Long Flexible Connector, Male, BSP"
i1-396,"2'' X 30'' S/S Flexible Connector, Male"
i1-397,Fillguard-Yellow-Projet
i1-398,Fibre Mat
i1-399,15W Fluorescent Lamp for Wayne Pumps
i1-400,FRPcover for 5 Gal Spill Containment
i1-401,FRP Dispenser Sump for Vista 4H / 6H
i1-402,3'' GI CAP
i1-403,4'' GI CAP
i1-404,2'' Kinco/Yodoshi GI Cap
i1-405,1 1/2'' GI Elbow
i1-406,2'' GI Elbow
i1-407,3'' GI Elbow
i1-408,1.5'' GI Elbow
i1-409,2'' Kinco/SCI  GI Elbow 90 deg
i1-410,4'' GI Elbow-45 Deg
i1-411,4'' GI Elbow 90 Deg
i1-412,1/2'' GI Nipple
i1-413,1 1/2'' GI Nipple
i1-414,2'' GI Nipple
i1-415,4'' GIN Nipple
i1-416,1.5'' Kinco/Yodoshi GI Nipple
i1-417,VOID. Use I1-1047
i1-418,1'' GI Plug
i1-419,1 1/2'' GI Plug
i1-420,2'' Kinco/Yodoshi GI Plug
i1-421,red jaket
i1-422,1 1/2'' X 1/2'' GI Reducer Bush
i1-423,"GI Bush, 4'' Male X 3'' Female Thread"
i1-424,2'' X 1.5'' GI Reducer Nipple BSP Male Thread
i1-425,1 1/2'' GI Socket
i1-426,1 1/2'' GI Tee
i1-427,2'' GI Tee
i1-428,4'' GI Tee
i1-429,1.5'' Kinco/Yodoshi GI Tee
i1-430,2'' Kinco/Yodoshi GI Tee
i1-431,2'' GI Union
i1-432,1.5'' Kinco/Yodoshi GI Union
i1-433,2'' Kinco/Yodoshi GI Union
i1-434,Gasket Shellac
i1-435,Hardener
i1-436,WI-000 9-13mm Orbit ZY steel worm hose clip
i1-437,2 1/2'' Hose Clip
i1-438,IC Dallas DS1225AD-150IND
i1-439,MDL 2475R5M Ingersoll Comp C/W 5.5 MTR/220IVRT
i1-440,Keypad Overlay-Black T17885-01 (123 x 103mm)
i1-441,Overlay Keypad-Blue
i1-442,1 1/2'' Kitz Super ZA Ball Valve
i1-443,"2'' Kitz Super ZA600 Brass Ball Valve, S/E"
i1-444,Petrol Finding Paste
i1-445,Water Finding Paste
i1-446,12V Bulb for Backlight
i1-447,"2'' Kitz Lift Check Valve Fig F, Bronze BSPT CLS1500"
i1-448,LG-GMC-9-11  230V Magnetic Contactor
i1-449,LG-TOR-7-11  Thermal Overload Relay 7-11
i1-450,MAG-SW  Magnetic Switch
i1-451,Lifting Handle for Fibrelite Manhole
i1-452,Lifting Handle for TCI
i1-453,MH0606 Manhole Handle
i1-454,42'' FRP Manhole Cover C/W Skirting
i1-455,11'' Manhole Cover
i1-456,13.5'' CP Manhole Cover
i1-457,14'' MS Manhole Cover
i1-458,Manhole CP CVR 15.5''
i1-459,19'' FRP Manhole Cover
i1-460,Metal or FIBR
i1-461,VOID
i1-462,VOID
i1-463,39 1/2''  FRP Manhole Cover
i1-464,Manhole Cover 39'' Comp
i1-465,39.5'' Fibrelite Manhole Cover with bottom base
i1-466,"46'' FRP Manhole Cover, Fibrelite"
i1-467,VOID
i1-468,Mild Steel Adaptor M24
i1-469,1'' X 2'' M/S Reducer Nipple Male BSP Thread
i1-470,3HP Motor (Repaired)
i1-471,5.5HP Motor-recond
i1-472,1.5'' Dust Steal
i1-473,"2'' camlock rubber gasket,buna-n"
i1-474,"3'' camlock rubber gasket,buna-n"
i1-475,Nozzle Latch Spring
i1-476,Oil Seal (CA4451) for Wayne Compressor TA20
i1-477,NAT Oil Seal #471571 (32204521)
i1-478,471692 Oil Seal CR11138 (32499923)
i1-479,OSRAM 7W/21-840  PL Lamp
i1-480,20W Fluorescent Tube 2ft
i1-481,Wilden Airoperated 2 Diaphragm Water Pump c/w Muffler P4/AAAPP/BNS/BN/BN/0014/04-0112
i1-482,"PCL Clear Glass 6 7/8"" dia x 3mm Thk"
i1-483,Lid Screw for PCL Tyre Inflator
i1-484,"PCL Lid Screw, 1/2"" UNC"
i1-485,PCL Rubber Washer
i1-486,"PCL Hose 1/4"" x 25ft Long c/w Couplings"
i1-487,"1/4"" x 25ft Braided Air Hose c/w Couplings"
i1-488,O Ring Set for New PCL MT
i1-489,Dialface for PCLA10 Acrylic 238x238x5mm
i1-490,Pressure Conversion Table 103mm x 310mm
i1-491,Permatex 56750 Thread Sealant 50ml Tube
i1-492,"Pilot Lamp-Amber, 230V-Ten"
i1-493,"Pilot Lamp-Green, 230V-Ten"
i1-494,"Pilot Lamp-Red, 230V-Ten"
i1-495,18W PL Lamp  for-screw on type
i1-496,"PPU Lens, Clear Plastic 21.2L x12B x 0.5cm Thick"
i1-497,"Lubricant, Pressol 100 209litre Drum"
i1-498,Power Supply S100-24
i1-499,"Kit NR, 10pcs User Key-Yellow"
i1-500,Resin x 20kg
i1-501,"Riser Pipe 4"" dia x 12""l 1 Side BSP / 1 Side NPT"
i1-502,"Riser Pipe Long 4"" dia x 15"" 1 Side BSP / 1 Side NPT"
i1-503,"Riser Pipe Long 4"" dia x 12"" NPT Thread"
i1-504,SDS4721  PE Dispenser Sump with Frame
i1-505,Dispenser Sump
i1-506,Bearing for Wayne Piston Meter
i1-507,SMC-10P Contactor 415V. Type 1b (1 side closed)
i1-508,Square Manhole Cover Chq Plate 22x22
i1-509,Nozzle Flap Spring-Left
i1-510,Nozzle Flap Spring-Right
i1-511,S/S KeyPad c/w Circuit Board
i1-512,S/S Bracket c/w Pwdr Coating for Wayne Membrane KeyPad
i1-513,Solid State Relay PD2401X
i1-514,"KeyPad, Black for Encore 145x76mm"
i1-515,STS4130 PE Tank Sump 45
i1-516,"1-1/2"" Steam Type Union Coupling"
i1-517,"1/4"" Tail Piece"
i1-518,Teflon Sealing Tape
i1-519,"Transformer 230V/14vx2, 66x26mm"
i1-520,"Visi Gauge 3/4"""
i1-521,"Visi Gauge 1"""
i1-522,"T04-0114 Air Operated Dual Diaphragm Pump, Aluminium"
i1-523,FIAC GMS110 Compressor with Oil
i1-524,Plate/Valve Kit for FIAC Compressor
i1-525,32.0009 Piston Ring Kit for FIAC GMS100
i1-526,Bearing for FIAC ECU15 (7060190000)
i1-527,Fan for FIAC ECU15 (7200140000)
i1-528,Capacitor for FIAC ECU15 (7310100000)
i1-529,Gasket Set for FIAC ECU1.5 (4082190000)
i1-530,Joint for FIAC ECU1.5hp (7084080000)
i1-531,Pressure Switch for FIAC (7250360000)
i1-532,Monoplate & Gasket Set for FIAC 1.5
i1-533,43.1011 LCD Display Type 1
i1-534,"Plug, Dome, Nylon Black"
i1-535,Door Lock Key for 89FRP
i1-536,Dock Lock C/W Tongue FR
i1-537,New BHP Faceplate XDA
i1-538,71.0193 Caltexfaceplate Decal for 89FEP/FRP
i1-539,Faceplate-Conoco (Old)
i1-540,"71.0191 Faceplate XOM 1 LCD, MY, DDP/FEP/FRP"
i1-541,Swivel & Elbow Type 1 C/W Rings & Circlips
i1-542,Shaft Type 1 C/W Orings and Circlips
i1-543,41.0703 Beepers Fr 89BEP/89FEP/89FRP
i1-544,Faceplate-Shell
i1-545,43.0106 PCB
i1-546,96.1024 Valve Assy
i1-547,46.1027 Transformer 240V
i1-548,45.1042 Piezo Switch
i1-549,(CAT-890010004) 45.0007 Compressor Relay
i1-550,31.0009 FIAC Compressor
i1-551,71.019 Decal/Faceplate 1 LCD EXMY/HDP/FEP/FRP
i1-552,"91.0210 Open End Twin Chuck, Short Stem"
i1-553,"Coupling, STD 1/4"" BSP Female Threaded"
i1-554,Closed End Twin Chuck
i1-555,Filter/Regulator
i1-556,99.1401 DS06/001 PCL PCB A10
i1-557,99.1405 -DS158 PCL Solenoid Valve & Sensor
i1-558,"Hose Kit for FR Series, Petronas"
i1-559,89FEP-1050- Elec Tyre Inflator - PETRON
i1-560,8TVB0000 89FEP Tyre Inflator ( Petron)
i1-561,9TVB0B00 Tyre Inflator for ExxonMobil
i1-562,8TVB0B00 Tyre Inflator BP
i1-563,8TVB-0B000 Tyre Inflator C/W Air Compressor BHP
i1-564,89XDA1KP11122MYEX-9TVB0000 Tyre Inflator-BL
i1-565,89XDA-1085 Tyre Inflator for BHP
i1-566,3TVB0000 Tyre Inflator for Petronas
i1-567,"300-10, 10 Micron Filter (70010)"
i1-568,"300-30, 30 Micron Filter (70012)"
i1-569,"400-10, 10 Micron Filter (70015)"
i1-570,"400-30, 30 Micron Filter (70016)"
i1-571,Door Switch
i1-572,E2 3.6V AA Li Battery
i1-573,Temp Sensor-Outdoor With Sunshield 10K
i1-574,Space Temp Sensor With Override and 20K Slider
i1-575,"12'' Temp Probe, Ductmount Walk In"
i1-576,"Transmitter, Wall Mount Relative Humidity"
i1-577,Light Level Sensor
i1-578,"Pwr Mtr Wattnode Plus, ECH Wt Hr Trans Einstein & E2"
i1-579,"Energy Meter, Modbus, 90-600Vac, 5-32KAmp"
i1-580,200 Amp Split Core CT 1.25'' Opening
i1-581,Control Link Refrigration System Controller
i1-582,10' Green Temp Sensor
i1-583,PC-104 Interface Card
i1-584,E2 Interface Card With RS232 Port & RS485 Port
i1-585,E12 RS4890 Daughter Card Supprt Intlgnt Str Discus
i1-586,Transformer 50va240vac24v
i1-587,"Transformer 175va, 115/230 24v Out"
i1-588,"Transformer 80va, 120/208/240v CT-CL2"
i1-589,8RO-C Relay Output Board
i1-590,"Multiflex 168DO, 16inp, 8op 4 Digital Output"
i1-591,"Acc Kit, UL 30A, W/Temp & Dew PT"
i1-592,E2-CX300 Controller
i1-593,Lighting Override Panel
i1-594,"PMAC Single Ch, Controller 20A, 120-240vac"
i1-595,"0087 Husky Swivel 1"" NPT"
i1-596,0350 Husky Swivel 3/4'' NPT
